County/City,Democratic,Republican,Total Votes Cast,Year,Rep Share
Buena Vista City,828,1121,1999,1988,56.07803901950975
Campbell County,4574,12713,17533,1988,72.50898306051445
Caroline County,3186,3065,6292,1988,48.71265098537826
Carroll County,3190,6377,9637,1988,66.17204524229533
Charles City County,1839,826,2700,1988,30.59259259259259
Charlotte County,1923,2699,4699,1988,57.437752713343265
Charlottesville City,7671,5817,13652,1988,42.60914151772634
Chesapeake City,18828,29738,48855,1988,60.86992119537407
Chesterfield County (CD 3),17543,57163,75210,1988,76.0045206754421
Chesterfield County (CD 4),1180,1665,2873,1988,57.95335885833624
Clarke County,1478,2502,4020,1988,62.23880597014925
Clifton Forge City,961,759,1739,1988,43.64577343300748
Colonial Heights City,1581,6001,7638,1988,78.56768787640743
Covington City,1567,1274,2915,1988,43.704974271012006
Craig County,864,1112,2005,1988,55.46134663341646
Culpeper County,2555,5896,8599,1988,68.56611233864403
Cumberland County,1132,1978,3159,1988,62.61475150364039
Danville City,7353,12221,19874,1988,61.49240213344068
Dickenson County,4461,3091,7604,1988,40.64965807469753
Dinwiddie County,3405,4165,7659,1988,54.38046742394568
Emporia City,977,1289,2277,1988,56.60957400087835
Essex County,1294,2038,3365,1988,60.56463595839524
Fairfax City,3430,5576,9101,1988,61.2679925282936
Fairfax County (CD 10),65549,100526,167173,1988,60.13291620058263
Fairfax County (CD 8),60162,100115,161192,1988,62.10916174499975
Falls Church City,2484,2470,4989,1988,49.508919623170975
Fauquier County,4837,11733,16796,1988,69.85591807573232
Floyd County,1727,2921,4735,1988,61.689545934530095
Fluvanna County,1562,2447,4059,1988,60.28578467602858
Franklin County,5734,7391,13261,1988,55.73486162431189
Franklin City,1630,1557,3210,1988,48.504672897196265
Frederick County,3707,9921,13717,1988,72.32631041772983
Fredericksburg City,2683,3401,6154,1988,55.264868378290544
Galax City,907,1278,2200,1988,58.09090909090909
Giles County,3042,3490,6648,1988,52.49699157641396
Gloucester County,3372,7646,11181,1988,68.38386548609247
Goochland County,2209,3765,6013,1988,62.61433560618659
Grayson County,2441,3968,6451,1988,61.509843435126335
Greene County,899,2234,3224,1988,69.29280397022333
Greensville County,2083,1610,3733,1988,43.12885079024913
Halifax County,4282,5671,10124,1988,56.015408929276965
Hampton City,19106,24034,43818,1988,54.84960518508375
Hanover County,5985,20570,26718,1988,76.98929560595853
Harrisonburg City,2799,5376,8288,1988,64.86486486486487
Henrico County,26980,62284,89887,1988,69.29144370153638
Henry County,7536,10871,18729,1988,58.04367558331999
Highland County,456,807,1286,1988,62.75272161741835
Hopewell City,2566,4672,7360,1988,63.47826086956522
Isle of Wight County,3747,5779,9621,1988,60.066521151647436
James City County,4642,8945,13773,1988,64.94590866187468
King and Queen County,1309,1376,2727,1988,50.458379171250456
King George County,1519,2587,4146,1988,62.397491558128316
King William County,1561,2735,4349,1988,62.888020234536675
Lancaster County,1551,3380,5043,1988,67.02359706523895
Lee County,4906,4080,9045,1988,45.107794361525706
Lexington City,997,994,2024,1988,49.11067193675889
Loudoun County,10101,20448,30862,1988,66.25623744410602
Louisa County,2789,3831,6702,1988,57.1620411817368
Lunenburg County,1870,2530,4496,1988,56.27224199288256
Lynchburg City (CD 5),1488,4143,5712,1988,72.53151260504201
Lynchburg City (CD 6),6791,11180,18214,1988,61.38135500164709
Madison County,1427,2501,4026,1988,62.121212121212125
Manassas City,2658,5980,8719,1988,68.58584700080284
Manassas Park City,434,993,1446,1988,68.67219917012449
Martinsville City,2794,3360,6264,1988,53.63984674329502
Mathews County,1235,2752,4076,1988,67.5171736997056
Mecklenburg County,3275,5887,9278,1988,63.45117482215995
Middlesex County,1361,2571,4018,1988,63.98705823792932
Montgomery County,8909,12326,21444,1988,57.47994777093826
Nelson County,2272,2502,4849,1988,51.59826768405857
New Kent County,1427,2917,4384,1988,66.53740875912409
Newport News City,21413,32570,54395,1988,59.87682691423844
Norfolk City,37778,30538,68891,1988,44.32799640011032
Northampton County,2242,2562,4927,1988,51.9991881469454
Northumberland County,1506,2984,4581,1988,65.13861602270246
Norton City,795,608,1423,1988,42.726633872101196
Nottoway County,2217,3161,5509,1988,57.37883463423489
Orange County,2592,4319,7015,1988,61.56806842480399
Page County,2499,5013,7575,1988,66.17821782178218
Patrick County,2093,3990,6229,1988,64.05522555787446
Petersburg City,8177,4231,12591,1988,33.6033674847113
Pittsylvania County,6612,12229,19201,1988,63.68939117754284
Poquoson City,877,3840,4751,1988,80.82508945485161
Portsmouth City,19698,16087,36059,1988,44.6129953687013
Powhatan County,1467,4040,5541,1988,72.91102689045299
Prince Edward County,2434,3147,5720,1988,55.01748251748252
Prince George County,2469,4982,7515,1988,66.29407850964738
Prince William County (CD 7),3886,9520,13551,1988,70.2531178510811
Prince William County (CD 8),15312,30134,45902,1988,65.64855561849157
Pulaski County,4686,6844,11719,1988,58.40088744773445
Radford City,1855,2481,4365,1988,56.83848797250859
Rappahannock County,1003,1657,2686,1988,61.69024571854058
Richmond County,924,1862,2811,1988,66.23977232301672
Richmond City,42155,31586,74736,1988,42.2634339541854
Roanoke County,12938,22011,35157,1988,62.607731035071254
Roanoke City,17185,15389,32813,1988,46.8990948709353
Rockbridge County,2412,3541,6062,1988,58.41306499505114
Rockingham County,4716,13241,18241,1988,72.58922208212269
Russell County,6222,4374,10753,1988,40.67702036640937
Salem City,3760,5694,9527,1988,59.76697806234911
Scott County,3616,4986,8785,1988,56.75583380762664
Shenandoah County,3276,8612,12004,1988,71.74275241586137
Smyth County,3989,7446,11727,1988,63.494499872090046
S. Boston City,936,1694,2645,1988,64.0453686200378
Southampton County,3000,3439,6493,1988,52.96473124903743
Spotsylvania County,5486,10978,16593,1988,66.160429096607
Stafford County (CD 7),2696,6168,8905,1988,69.26445816956766
Stafford County (CD 8),2684,6066,8807,1988,68.8770296355172
Staunton City,2457,5775,8334,1988,69.29445644348452
Suffolk City,8080,9742,17950,1988,54.27298050139276
Surry County,1602,1246,2899,1988,42.98033804760262
Sussex County,1958,1822,3896,1988,46.765913757700204
Tazewell County,8098,7165,15453,1988,46.36640134601696
Virginia Beach City,33780,76481,111018,1988,68.89063034823182
Warren County,2769,4700,7598,1988,61.858383785206634
Washington County,5819,10722,16899,1988,63.44754127463163
Waynesboro City,2038,4672,6799,1988,68.71598764524195
Westmoreland County,2311,2974,5370,1988,55.381750465549345
Williamsburg City,1534,1648,3237,1988,50.91133765832561
Winchester City,2300,4497,6862,1988,65.53482949577382
Wise County,7017,6189,13386,1988,46.23487225459435
Wythe County,3201,5827,9225,1988,63.16531165311653
York County,4639,11103,15871,1988,69.9577846386491
TOTALS,859799,1309162,2191609,1988,59.73519911626572
Accomack County,4950,5666,13125,1992,43.16952380952381
Albemarle County (CD 5),5806,5118,12515,1992,40.894926088693566
Albemarle County (CD 7),8080,8776,19289,1992,45.4974337705428
Alexandria City,30784,16700,52675,1992,31.703844328429046
Alleghany County,2396,2294,5657,1992,40.55152907901714
Amelia County,1534,2062,4224,1992,48.816287878787875
Amherst County,4101,5482,10908,1992,50.256692335900254
Appomattox County,1919,2830,5620,1992,50.355871886120994
Arlington County,47756,26376,82584,1992,31.938390002906132
Augusta County,5190,12896,21866,1992,58.97740784780024
Bath County,855,1075,2330,1992,46.137339055793994
Bedford City,963,1091,2409,1992,45.288501452885015
Bedford County (CD 5),4936,8176,15734,1992,51.963899834752766
Bedford County (CD 6),1856,2320,5022,1992,46.19673436877738
Bland County,1001,1368,2832,1992,48.30508474576271
Botetourt County,4349,5904,12209,1992,48.357768859038416
Bristol City,2948,3616,7462,1992,48.458858214955775
Brunswick County,3687,2480,6718,1992,36.915748734742486
Buchanan County,7405,3297,11704,1992,28.169856459330145
Buckingham County,2193,2368,5103,1992,46.404076033705664
Buena Vista City,1023,849,2200,1992,38.59090909090909
Campbell County,5999,10931,19757,1992,55.32722579338969
Caroline County,3770,2947,7753,1992,38.01109248033019
Carroll County,3790,5664,10915,1992,51.891891891891895
Charles City County,2010,729,3014,1992,24.187126741871268
Charlotte County,2098,2293,5111,1992,44.86401878301702
Charlottesville City,8685,4705,14899,1992,31.57930062420297
Chesapeake City,23495,28909,61868,1992,46.72690243744747
Chesterfield County (CD 4),4178,5528,11467,1992,48.20790093311241
Chesterfield County (CD 7),23850,51098,90466,1992,56.483098622686974
Clarke County,1811,1994,4648,1992,42.90017211703959
Clifton Forge City,958,632,1873,1992,33.742658836091834
Colonial Heights City,1721,5298,8400,1992,63.07142857142857
Covington City,1442,995,2869,1992,34.68107354478912
Craig County,965,1008,2297,1992,43.883326077492384
Culpeper County,3444,5226,10466,1992,49.93311675902924
Cumberland County,1284,1643,3384,1992,48.55200945626478
Danville City,8134,9584,19661,1992,48.746248919180104
Dickenson County,4839,2574,8143,1992,31.609971754881492
Dinwiddie County,3624,3648,8597,1992,42.43340700244271
Emporia City,1048,1094,2319,1992,47.17550668391548
Essex County,1583,1897,3904,1992,48.591188524590166
Fairfax City,3884,4333,9693,1992,44.70236252966058
Fairfax County (CD 10),25757,37713,75055,1992,50.247152088468454
Fairfax County (CD 11),82650,80964,190642,1992,42.46913062179373
Fairfax County (CD 8),51779,51811,119521,1992,43.348867563022395
Falls Church City,2864,1912,5404,1992,35.38119911176906
Fauquier County,6600,10497,20759,1992,50.56601955778217
Floyd County,2026,2575,5316,1992,48.43867569601204
Fluvanna County,2134,2811,5852,1992,48.03485987696514
Franklin County,6590,6724,15701,1992,42.82529775173556
Franklin City,1696,1347,3339,1992,40.34141958670261
Frederick County,4942,9425,17468,1992,53.95580490038928
Fredericksburg City,3266,2819,6879,1992,40.97979357464748
Galax City,957,1087,2344,1992,46.37372013651877
Giles County,3346,3023,7632,1992,39.609538784067084
Gloucester County,4058,6461,13345,1992,48.41513675533908
Goochland County,2589,3834,7479,1992,51.26353790613718
Grayson County,2615,3378,6939,1992,48.681366191093815
Greene County,1353,2265,4331,1992,52.297390902793815
Greensville County,2237,1335,3986,1992,33.492222779729055
Halifax County,4752,5199,11262,1992,46.164091635588704
Hampton City (CD 1),9113,13361,27277,1992,48.98265938336327
Hampton City (CD 3),14282,5858,22601,1992,25.91920711472944
Hanover County (CD 1),4563,11270,19045,1992,59.17563665003938
Hanover County (CD 7),3458,9066,15216,1992,59.58201892744479
Harrisonburg City,3414,4935,9632,1992,51.23546511627907
Henrico County (CD 3),12727,6296,21174,1992,29.734580145461415
Henrico County (CD 7),24080,50614,87694,1992,57.71660546901727
Henry County,9296,9005,21825,1992,41.26002290950745
Highland County,494,686,1400,1992,49.0
Hopewell City (CD 3),772,101,931,1992,10.848549946294307
Hopewell City (CD 4),2091,3717,7111,1992,52.271129236394316
Isle of Wight County,4380,5370,11387,1992,47.15904101167999
James City County (CD 1),5286,6716,14374,1992,46.72325031306526
James City County (CD 3),1250,2065,3847,1992,53.67819079802443
King and Queen County,1363,1206,2917,1992,41.34384641755228
King George County,1811,2570,5324,1992,48.27197595792637
King William County,1822,2591,5230,1992,49.541108986615676
Lancaster County,1812,2841,5528,1992,51.39290882778582
Lee County,5215,3504,9796,1992,35.76970191915068
Lexington City,1128,894,2277,1992,39.26218708827405
Loudoun County,14462,19290,41574,1992,46.399191802568915
Louisa County,3399,3461,8307,1992,41.6636571566149
Lunenburg County,2082,2227,4912,1992,45.33794788273616
Lynchburg City,9587,12518,24969,1992,50.1341663662942
Madison County,1700,2341,4779,1992,48.985143335425825
Manassas City,3647,5453,11154,1992,48.888291195983506
Manassas Park City,567,792,1720,1992,46.04651162790697
Martinsville City,3073,2690,6617,1992,40.65286383557503
Mathews County,1402,2179,4525,1992,48.15469613259668
Mecklenburg County,4273,5401,10970,1992,49.23427529626253
Middlesex County,1597,2224,4685,1992,47.47065101387407
Montgomery County,10658,10606,24935,1992,42.53458993382795
Nelson County,2586,2159,5538,1992,38.985193210545326
New Kent County,1738,2708,5483,1992,49.38902060915557
Newport News City (CD 1),11117,19066,35951,1992,53.033295318628134
Newport News City (CD 3),14626,7713,25140,1992,30.68019093078759
Norfolk City (CD 2),19743,18679,45654,1992,40.914268191177115
Norfolk City (CD 3),17859,3683,23373,1992,15.757497967740555
Northampton County,2568,2088,5618,1992,37.16625133499466
Northumberland County,1862,2667,5334,1992,50.0
Norton City,871,472,1548,1992,30.49095607235142
Nottoway County,2411,2610,5743,1992,45.44663068082883
Orange County,3348,4092,8966,1992,45.639080972563015
Page County,3010,4203,8460,1992,49.680851063829785
Patrick County,2465,3521,7189,1992,48.97760467380721
Petersburg City (CD 3),5606,882,6878,1992,12.823495202093632
Petersburg City (CD 4),3065,2243,5839,1992,38.41411200548039
Pittsylvania County,7675,11467,21894,1992,52.375079930574586
Poquoson City,1086,3354,5437,1992,61.688431120103
Portsmouth City (CD 3),11018,1719,13473,1992,12.758851035404142
Portsmouth City (CD 4),9398,10856,24126,1992,44.99709856586256
Powhatan County,1950,3832,7086,1992,54.078464578041206
Prince Edward County,2775,2858,6383,1992,44.775184082719726
Prince George County (CD 3),275,568,1006,1992,56.461232604373755
Prince George County (CD 4),2812,4231,8406,1992,50.33309540804188
Prince William County (CD 10),10299,16822,33525,1992,50.17747949291574
Prince William County (CD 11),16187,18610,42155,1992,44.14660182659234
Pulaski County,5633,6148,13987,1992,43.95510116536784
Radford City,2183,1996,4785,1992,41.71368861024033
Rappahannock County,1273,1410,3181,1992,44.32568374724929
Richmond County,1034,1609,3050,1992,52.75409836065574
Richmond City (CD 3),34716,7799,46044,1992,16.938146121101553
Richmond City (CD 7),12926,16542,33691,1992,49.09916594936333
Roanoke City,17724,13443,35181,1992,38.21096614649953
Roanoke County (CD 6),12592,17634,34960,1992,50.44050343249428
Roanoke County (CD 9),2112,3033,6120,1992,49.55882352941177
Rockbridge County,2908,3228,7503,1992,43.02279088364654
Rockingham County (CD 10),568,1266,2238,1992,56.56836461126005
Rockingham County (CD 6),4839,11730,19235,1992,60.98258383155706
Russell County,6480,3891,11484,1992,33.881922675026125
Salem City,4028,5143,10669,1992,48.20508013871966
Scott County,3979,4515,9690,1992,46.59442724458204
Shenandoah County,3956,7746,13896,1992,55.7426597582038
Smyth County,4924,6128,12931,1992,47.38999303998144
S. Boston City,1051,1435,2757,1992,52.0493289807762
Southampton County,3199,2844,6874,1992,41.3732906604597
Spotsylvania County (CD 1),5015,7274,14723,1992,49.40569177477416
Spotsylvania County (CD 7),3118,4555,9291,1992,49.02593908083091
Stafford County,7718,12528,24871,1992,50.37191910256926
Staunton City,2851,4989,9232,1992,54.04029462738301
Suffolk City (CD 3),353,373,860,1992,43.372093023255815
Suffolk City (CD 4),8843,8324,19363,1992,42.98920621804472
Surry County,1823,1046,3275,1992,31.938931297709924
Sussex County,2193,1527,4253,1992,35.904067716905715
Tazewell County,8586,6375,17056,1992,37.37687617260788
Virginia Beach City (CD 2),43203,67094,134331,1992,49.9467732690146
Virginia Beach City (CD 4),1091,1842,3454,1992,53.329473074696004
Warren County,3554,4319,9676,1992,44.63621331128566
Washington County,7269,9150,18995,1992,48.170571202948146
Waynesboro City,2302,3758,7149,1992,52.566792558399776
Westmoreland County,2758,2554,6223,1992,41.04129840912743
Williamsburg City,1856,1349,3719,1992,36.27319171820382
Winchester City,2768,3833,7701,1992,49.77275678483314
Wise County,7681,5144,14857,1992,34.62340984047923
Wythe County,3616,5121,10492,1992,48.80861608844834
York County,6218,10197,19966,1992,51.071822097565864
TOTALS,1038650,1150517,2558665,1992,44.965519128139086
Accomack County,5220,5013,11654,1996,43.01527372575939
Albemarle County,14089,15243,31228,1996,48.81196362239016
Alexandria City,27968,15554,45399,1996,34.26066653450516
Alleghany County,2398,2015,5074,1996,39.71225857311786
Amelia County,1625,2119,4144,1996,51.134169884169886
Amherst County,4864,5094,10924,1996,46.63127059685097
Appomattox County,2239,2625,5477,1996,47.927697644696
Arlington County,45573,26106,75376,1996,34.63436637656549
Augusta County,5965,13458,22102,1996,60.89041715681839
Bath County,922,847,2051,1996,41.29692832764505
Bedford County,7786,11955,22109,1996,54.073001944909315
Bedford City,1065,990,2311,1996,42.838598009519686
Bland County,939,1167,2537,1996,45.999211667323614
Botetourt County,4576,6404,12380,1996,51.72859450726979
Bristol City,2586,2983,6026,1996,49.50215731828742
Brunswick County,3442,2059,5918,1996,34.792159513349105
Buchanan County,6551,2785,10332,1996,26.955090979481223
Buckingham County,2374,1974,4850,1996,40.70103092783505
Buena Vista City,1090,713,2057,1996,34.66212931453573
Campbell County,6788,10273,18902,1996,54.34874616442705
Caroline County,3897,2816,7285,1996,38.654770075497595
Carroll County,3611,5088,9969,1996,51.038218477279564
Charles City County,1842,729,2787,1996,26.157158234660926
Charlotte County,2007,2103,4614,1996,45.57867360208063
Charlottesville City,7916,4091,12789,1996,31.988427554930016
Chesapeake City,28713,29251,62686,1996,46.66273171042976
Chesterfield County,30220,56650,93305,1996,60.714859868174266
Clarke County,1906,2201,4569,1996,48.17246662289341
Clifton Forge City,974,486,1641,1996,29.616087751371115
Colonial Heights City,1782,4632,6953,1996,66.61872572990076
Covington City,1394,763,2453,1996,31.10476966979209
Craig County,895,979,2159,1996,45.34506716072256
Culpeper County,3907,5688,10553,1996,53.89936510944755
Cumberland County,1303,1544,3190,1996,48.4012539184953
Danville City,8168,9254,18519,1996,49.970300772179925
Dickenson County,3913,2229,6868,1996,32.45486313337216
Dinwiddie County,3871,3503,8166,1996,42.8973793779084
Emporia City,1103,835,2054,1996,40.65238558909445
Essex County,1668,1627,3533,1996,46.051514293801304
Fairfax County,170150,176033,365263,1996,48.19349345540063
Fairfax City,3909,4319,8745,1996,49.38822184105203
Falls Church City,2375,1644,4284,1996,38.37535014005602
Fauquier County,6759,11063,19258,1996,57.446256101360476
Floyd County,1909,2374,4939,1996,48.06641020449484
Fluvanna County,2676,3442,6663,1996,51.65841212666967
Franklin County,7300,7382,16987,1996,43.45676105256961
Franklin City,1962,1200,3385,1996,35.450516986706056
Frederick County,5976,10608,18412,1996,57.61459917445144
Fredericksburg City,3215,2579,6164,1996,41.83971447112265
Galax City,1033,910,2181,1996,41.723979825768
Giles County,3196,2566,6726,1996,38.15046089800773
Gloucester County,4710,6447,12593,1996,51.195108393551976
Goochland County,2784,4119,7425,1996,55.474747474747474
Grayson County,2661,3004,6403,1996,46.91550835545838
Greene County,1440,2351,4252,1996,55.29162746942615
Greensville County,2381,1176,3843,1996,30.601092896174862
Halifax County,5599,6490,13226,1996,49.07001360955693
Hampton City,24493,16596,44507,1996,37.28851641314849
Hanover County,9880,22086,34724,1996,63.60442345351918
Harrisonburg City,3346,4945,8937,1996,55.33176681212935
Henrico County,41121,54430,101992,1996,53.366930739665854
Henry County,9061,9110,20874,1996,43.6428092363706
Highland County,446,631,1221,1996,51.67895167895168
Hopewell City,2604,3343,6583,1996,50.78231809205529
Isle of Wight County,4952,5416,11369,1996,47.63831471545431
James City County,7247,10120,18586,1996,54.44958570967395
King and Queen County,1393,1073,2756,1996,38.93323657474601
King George County,1875,2597,4843,1996,53.62378690894074
King William County,1765,2346,4469,1996,52.494965316625645
Lancaster County,1844,2709,4893,1996,55.36480686695279
Lee County,4444,3225,8604,1996,37.482566248256624
Lexington City,1059,850,2045,1996,41.56479217603912
Loudoun County,19942,25715,49330,1996,52.128522197445776
Louisa County,3761,3768,8323,1996,45.27213745043854
Lunenburg County,1995,2063,4460,1996,46.25560538116592
Lynchburg City,10281,11441,23012,1996,49.71753867547367
Madison County,1734,2296,4510,1996,50.90909090909091
Manassas City,4378,5799,10960,1996,52.910583941605836
Manassas Park City,748,916,1838,1996,49.83677910772579
Martinsville City,2941,2446,5842,1996,41.86922286888052
Mathews County,1602,2206,4260,1996,51.78403755868545
Mecklenburg County,4408,4933,10278,1996,47.99571901148083
Middlesex County,1704,2141,4297,1996,49.82545962299279
Montgomery County,10867,10517,24298,1996,43.28339781051938
Nelson County,2782,1988,5264,1996,37.765957446808514
New Kent County,1859,2852,5267,1996,54.148471615720524
Newport News City,27678,23072,54288,1996,42.49926318891836
Norfolk City,37655,18693,60124,1996,31.090745792029804
Northampton County,2569,1763,4948,1996,35.63055780113177
Northumberland County,1957,2605,5028,1996,51.80986475735879
Norton City,802,416,1382,1996,30.101302460202604
Nottoway County,2327,2416,5214,1996,46.336785577291906
Orange County,3590,4435,8908,1996,49.78670857656039
Page County,2868,3876,7479,1996,51.82511030886482
Patrick County,2301,3547,6771,1996,52.38517205730321
Petersburg City,8105,2261,10890,1996,20.76216712580349
Pittsylvania County,7681,12127,21714,1996,55.848761167910105
Poquoson City,1409,3422,5276,1996,64.85974222896134
Portsmouth City,22150,10686,35409,1996,30.178768109802594
Powhatan County,2254,4679,7643,1996,61.21941645950543
Prince Edward County,2678,2530,5678,1996,44.557942937654104
Prince George County,3498,5216,9507,1996,54.864836436310085
Prince William County,33462,39292,78443,1996,50.08987417615339
Pulaski County,5333,5387,12304,1996,43.782509752925876
Radford City,2113,1742,4283,1996,40.672425869717486
Rappahannock County,1405,1505,3181,1996,47.31216598553914
Richmond County,1101,1424,2797,1996,50.911691097604574
Richmond City,42273,20993,67078,1996,31.296401204567818
Roanoke County,15387,20700,39421,1996,52.51008345805535
Roanoke City,17282,12283,32016,1996,38.3651924037981
Rockbridge County,3116,3274,7279,1996,44.97870586619041
Rockingham County,5867,14035,21707,1996,64.65656239922606
Russell County,5437,3706,10128,1996,36.59162717219589
Salem City,4282,4936,10079,1996,48.97311241194563
Scott County,3449,4086,8573,1996,47.661262101947976
Shenandoah County,4224,7440,13280,1996,56.024096385542165
Smyth County,4990,4966,11619,1996,42.74033909975041
Southampton County,3454,2275,6715,1996,33.87937453462398
Spotsylvania County,10342,13786,26197,1996,52.62434629919456
Stafford County,9902,14098,26089,1996,54.03810034880601
Staunton City,3162,4526,8435,1996,53.65737996443391
Suffolk City,10827,8572,20754,1996,41.30288137226559
Surry County,1753,944,2938,1996,32.13070115724983
Sussex County,2089,1378,3792,1996,36.33966244725738
Tazewell County,7500,6131,15440,1996,39.70854922279793
Virginia Beach City,52142,63741,125943,1996,50.61099068626283
Warren County,3814,4657,9652,1996,48.24906755076668
Washington County,6939,9098,18169,1996,50.07430238318014
Waynesboro City,2398,3466,6576,1996,52.70681265206812
Westmoreland County,2949,2333,5788,1996,40.30753282653767
Williamsburg City,1820,1560,3592,1996,43.42984409799555
Winchester City,3027,3681,7222,1996,50.96926059263362
Wise County,6712,4660,13092,1996,35.59425603421937
Wythe County,3275,4274,8549,1996,49.99415136273248
York County,7731,11396,20738,1996,54.952261548847524
TOTALS,1091060,1138350,2416642,1996,47.1046187230049
Accomack County,5092,6352,11925,2000,53.266247379454924
Albemarle County,16255,18291,36846,2000,49.64175215762905
Alexandria City,33633,19043,55199,2000,34.49881338430044
Alleghany County,2214,2808,5123,2000,54.81163380831544
Amelia County,1754,2947,4788,2000,61.54970760233918
Amherst County,4812,6660,11712,2000,56.864754098360656
Appomattox County,2132,3654,5927,2000,61.650075923738825
Arlington County,50260,28555,83559,2000,34.173458274991326
Augusta County,6643,17744,25271,2000,70.21487080052233
Bath County,822,1311,2210,2000,59.321266968325794
Bedford County,8160,17224,26149,2000,65.86867566637348
Bedford City,1078,1269,2441,2000,51.986890618598935
Bland County,851,1759,2688,2000,65.4389880952381
Botetourt County,4627,8867,13840,2000,64.0679190751445
Bristol City,2646,3495,6279,2000,55.661729574773055
Brunswick County,3387,2561,5997,2000,42.70468567617142
Buchanan County,5745,3867,9856,2000,39.23498376623377
Buckingham County,2561,2738,5454,2000,50.2016868353502
Buena Vista City,941,980,1975,2000,49.620253164556964
Campbell County,6659,13162,20327,2000,64.75131598366704
Caroline County,4314,3873,8351,2000,46.37767931984194
Carroll County,3638,7142,11001,2000,64.92137078447414
Charles City County,1981,1023,3066,2000,33.365949119373774
Charlotte County,2017,2855,4994,2000,57.16860232278734
Charlottesville City,7762,4034,13224,2000,30.505142165759224
Chesapeake City,33578,39684,74585,2000,53.206408795334184
Chesterfield County,38638,69924,110951,2000,63.022415300447946
Clarke County,2166,2883,5284,2000,54.56093868281605
Clifton Forge City,868,613,1532,2000,40.0130548302872
Colonial Heights City,2100,5519,7782,2000,70.92007196093549
Covington City,1168,966,2214,2000,43.63143631436314
Craig County,851,1580,2493,2000,63.377456879261935
Culpeper County,4364,7440,12244,2000,60.76445606011107
Cumberland County,1405,1974,3507,2000,56.287425149700596
Danville City,8221,9427,18307,2000,51.49396405746436
Dickenson County,3951,3122,7226,2000,43.2050927207307
Dinwiddie County,4001,4959,9136,2000,54.27977232924694
Emporia City,1116,938,2080,2000,45.09615384615385
Essex County,1750,1995,3831,2000,52.07517619420517
Fairfax County,196501,202181,413775,2000,48.862546069723884
Fairfax City,4361,4762,9556,2000,49.83256592716618
Falls Church City,3109,2131,5593,2000,38.1011979259789
Fauquier County,8296,14456,23481,2000,61.56466930709936
Floyd County,1957,3423,5739,2000,59.64453737584945
Fluvanna County,3431,4962,8706,2000,56.99517574086837
Franklin County,7145,11225,18829,2000,59.61548674916352
Franklin City,1763,1393,3191,2000,43.65402695079912
Frederick County,7158,14574,22392,2000,65.08574490889603
Fredericksburg City,3360,2935,6681,2000,43.930549318964225
Galax City,996,1160,2213,2000,52.417532760957975
Giles County,3004,3574,6820,2000,52.40469208211144
Gloucester County,4553,8718,13699,2000,63.63968172859333
Goochland County,3197,5378,8777,2000,61.273783752990774
Grayson County,2467,4236,6852,2000,61.82136602451839
Greene County,1774,3375,5412,2000,62.36141906873614
Greensville County,2314,1565,3906,2000,40.06656426011265
Halifax County,5963,7732,14072,2000,54.945992040932346
Hampton City,27490,19561,47887,2000,40.84824691461148
Hanover County,12044,28614,41585,2000,68.80846459059757
Harrisonburg City,3482,5741,9958,2000,57.652138983731675
Henrico County,48645,62887,114252,2000,55.0423624969366
Henry County,8898,11870,21463,2000,55.30447747286027
Highland County,453,942,1437,2000,65.55323590814196
Hopewell City,3024,3749,6978,2000,53.725995987388934
Isle of Wight County,5162,7587,12950,2000,58.58687258687259
James City County,9090,14628,24492,2000,59.72562469377756
King and Queen County,1387,1423,2859,2000,49.772647778943686
King George County,2070,3590,5852,2000,61.34654818865345
King William County,2125,3547,5769,2000,61.48379268504073
Lancaster County,1937,3411,5455,2000,62.529789184234644
Lee County,4031,4551,8748,2000,52.02331961591221
Lexington City,1048,957,2140,2000,44.7196261682243
Loudoun County,30938,42453,75653,2000,56.11542172815354
Louisa County,4309,5461,10096,2000,54.09072900158478
Lunenburg County,2026,2510,4591,2000,54.67218470921368
Lynchburg City,10374,12518,23506,2000,53.25448821577469
Madison County,1844,2940,5027,2000,58.48418539884623
Manassas City,5262,6752,12410,2000,54.40773569701853
Manassas Park City,1048,1460,2580,2000,56.58914728682171
Martinsville City,3048,2560,5694,2000,44.95960660344222
Mathews County,1499,2951,4609,2000,64.0269038837058
Mecklenburg County,4797,6600,11654,2000,56.63291573708598
Middlesex County,1671,2844,4689,2000,60.65259117082534
Montgomery County,11720,13991,27160,2000,51.513254786450666
Nelson County,2907,2913,6145,2000,47.40439381611066
New Kent County,2055,3934,6114,2000,64.34412823029113
Newport News City,29779,27006,57825,2000,46.7029831387808
Norfolk City,38221,21920,61946,2000,35.3856584767378
Northampton County,2340,2299,4892,2000,46.99509403107113
Northumberland County,2118,3362,5605,2000,59.982158786797505
Norton City,867,639,1530,2000,41.76470588235294
Nottoway County,2460,2870,5492,2000,52.25782957028405
Orange County,4126,5991,10483,2000,57.14967089573595
Page County,2726,5089,7996,2000,63.64432216108054
Patrick County,2254,4901,7385,2000,66.3642518618822
Petersburg City,8751,2109,11062,2000,19.065268486711265
Pittsylvania County,7834,15760,24255,2000,64.97629354772212
Poquoson City,1448,4271,5861,2000,72.87152363077973
Portsmouth City,22286,12628,35455,2000,35.61697926949655
Powhatan County,2708,6820,9711,2000,70.22963649469673
Prince Edward County,2922,3214,6363,2000,50.51076536225051
