County/City,Democratic,Republican,Total Votes Cast,Year,Rep Share
Washington County,6547,6865,14015,1976,48.98323225115947
Waynesboro City,2209,3528,5915,1976,59.64497041420118
Westmoreland County,2355,1909,4568,1976,41.790718038528894
Williamsburg City,1468,1654,3195,1976,51.768388106416275
Winchester City,2346,4075,6484,1976,62.8470080197409
Wise County,7134,5691,13351,1976,42.62602052280728
Wythe County,3578,4231,8241,1976,51.34085669214901
York County,4736,5603,10451,1976,53.612094536408
TOTALS,813896,836554,1697094,1976,49.29332140706408
Accomack County,4872,5371,10698,1980,50.20564591512432
Albemarle County,7293,10424,19582,1980,53.232560514758454
Alexandria City,17134,17865,40388,1980,44.23343567396256
Alleghany County,2411,2185,4756,1980,45.94196804037006
Amelia County,1643,1969,3701,1980,53.20183734125912
Amherst County,3476,5088,8840,1980,57.55656108597285
Appomattox County,1492,2548,4217,1980,60.42210101968224
Arlington County,26502,30854,66861,1980,46.146483002049024
Augusta County,5202,11011,17120,1980,64.31658878504673
Bath County,999,921,2007,1980,45.889387144992526
Bedford County,4721,6608,11840,1980,55.810810810810814
Bedford City,1149,1145,2423,1980,47.25546842756913
Bland County,1002,1278,2345,1980,54.498933901918974
Botetourt County,3698,4408,8602,1980,51.243896768193444
Bristol City,2889,3432,6515,1980,52.678434382194936
Brunswick County,3430,2310,5864,1980,39.39290586630287
Buchanan County,5768,4554,10629,1980,42.84504657070279
Buckingham County,1933,1864,3923,1980,47.5146571501402
Buena Vista City,1031,942,2089,1980,45.093346098611775
Campbell County,4473,9592,14721,1980,65.15861694178385
Caroline County,2924,2071,5154,1980,40.18238261544432
Carroll County,3437,5905,9634,1980,61.293336101307865
Charles City County,1564,506,2131,1980,23.744720788362272
Charlotte County,2108,2322,4530,1980,51.258278145695364
Charlottesville City,6866,5907,14562,1980,40.564482900700455
Chesapeake City,17155,17888,36904,1980,48.471710383698245
Chesterfield County (CD 3),9828,24730,36134,1980,68.43969668456302
Chesterfield County (CD 5),3232,13178,17479,1980,75.39332913782253
Clarke County,1156,1876,3266,1980,57.44029393753827
Clifton Forge City,1012,716,1825,1980,39.23287671232877
Colonial Heights City,1692,5012,7063,1980,70.9613478691774
Covington City,1813,1187,3150,1980,37.682539682539684
Craig County,946,768,1779,1980,43.17032040472176
Culpeper County,2519,4312,7255,1980,59.43487250172295
Cumberland County,1355,1515,3024,1980,50.09920634920635
Danville City,6138,10665,17362,1980,61.42725492454786
Dickenson County,4177,3687,7995,1980,46.11632270168855
Dinwiddie County,3475,3369,7018,1980,48.005129666571676
Emporia City,855,988,1902,1980,51.9453207150368
Essex County,1280,1581,2987,1980,52.929360562437225
Fairfax City,2614,4475,8004,1980,55.90954522738631
Fairfax County (CD 10),39163,70438,124957,1980,56.36979120817561
Fairfax County (CD 8),34571,67182,114748,1980,58.547425663192385
Falls Church City,1703,2485,4758,1980,52.22782681799075
Fauquier County,4119,6782,11670,1980,58.114824335904025
Floyd County,1642,2447,4323,1980,56.60421003932454
Fluvanna County,1424,1605,3184,1980,50.40829145728643
Franklin County,5685,4993,11090,1980,45.022542831379624
Franklin City,1324,1045,2456,1980,42.54885993485342
Frederick County,2948,7293,10787,1980,67.60915917307871
Fredericksburg City,2174,2502,4968,1980,50.36231884057971
Galax City,1061,1188,2293,1980,51.8098560837331
Giles County,3627,2978,6940,1980,42.91066282420749
Gloucester County,3138,4261,7897,1980,53.95719893630493
Goochland County,2290,2423,4877,1980,49.68218166905885
Grayson County,2875,3494,6547,1980,53.36795478845273
Greene County,925,1702,2811,1980,60.547847741017435
Greensville County,2142,1583,3800,1980,41.6578947368421
Halifax County,4528,5088,9836,1980,51.72834485563237
Hampton City,18517,17023,37765,1980,45.07612869058652
Hanover County,5383,14262,20368,1980,70.02160251374706
Harrisonburg City,1896,3388,5796,1980,58.45410628019324
Henrico County,21023,50505,75551,1980,66.84888353562494
Henry County,8800,8258,17783,1980,46.43760895237024
Highland County,487,751,1278,1980,58.76369327073552
Hopewell City,3102,4423,7872,1980,56.1864837398374
Isle of Wight County,3951,3526,7784,1980,45.298047276464544
James City County,3068,4289,8048,1980,53.2927435387674
King and Queen County,1128,949,2150,1980,44.13953488372093
King George County,1318,1784,3332,1980,53.54141656662665
King William County,1446,2036,3601,1980,56.53985004165509
Lancaster County,1567,2780,4557,1980,61.005047180162386
Lee County,4758,4417,9377,1980,47.104617681561265
Lexington City,963,956,2083,1980,45.89534325492079
Loudoun County,6694,12076,20492,1980,58.93031426898302
Louisa County,2809,2633,5706,1980,46.14440939362075
Lunenburg County,1958,2045,4136,1980,49.44390715667311
Lynchburg City (CD 5),1306,3645,5266,1980,69.21762248385872
Lynchburg City (CD 6),6477,11600,19151,1980,60.5712495431048
Madison County,1351,1959,3521,1980,55.637602953706335
Manassas City,1565,3009,4952,1980,60.76332794830372
Manassas Park City,447,729,1254,1980,58.133971291866025
Martinsville City,3337,3433,7032,1980,48.81968145620023
Mathews County,1300,2204,3716,1980,59.31108719052745
Mecklenburg County,3790,4853,8913,1980,54.44855828565017
Middlesex County,1395,1810,3344,1980,54.1267942583732
Montgomery County,7455,8222,17344,1980,47.40544280442804
Nelson County,2410,1866,4496,1980,41.50355871886121
New Kent County,1204,1739,3035,1980,57.29818780889621
Newport News City,22066,22423,46982,1980,47.72678898301477
Norfolk City,35118,27506,67200,1980,40.93154761904762
Northampton County,2363,2165,4743,1980,45.64621547543749
Northumberland County,1551,2598,4330,1980,60.0
Norton City,762,572,1400,1980,40.857142857142854
Nottoway County,2593,2813,5611,1980,50.13366601318838
Orange County,2420,3381,6158,1980,54.904189671971416
Page County,2607,4297,7138,1980,60.19893527598767
Patrick County,2382,3436,6123,1980,56.11628286787523
Petersburg City,7931,5001,13277,1980,37.666641560593504
Pittsylvania County,7653,12022,20280,1980,59.28007889546351
Poquoson City,877,2338,3399,1980,68.78493674610179
Portsmouth City,20900,13660,35949,1980,37.998275334501656
Powhatan County,1484,2933,4570,1980,64.17943107221006
Prince Edward County,2553,2774,5598,1980,49.55341193283316
Prince George County,2310,3389,5888,1980,57.55774456521739
Prince William County,12787,23061,39119,1980,58.95089342774611
Pulaski County,5769,5747,12040,1980,47.73255813953488
Radford City,2225,1964,4463,1980,44.00627380685638
Rappahannock County,1055,1179,2367,1980,49.80988593155894
Richmond County,854,1567,2495,1980,62.80561122244489
Richmond City,47975,34629,87106,1980,39.75501113585746
Roanoke County,12114,17182,30814,1980,55.76036866359447
Roanoke City,18139,15164,34946,1980,43.392662965718536
Rockbridge County,2475,2784,5677,1980,49.03998590805003
Rockingham County,5294,11397,17859,1980,63.816563077439945
Russell County,5764,4778,10874,1980,43.93967261357366
Salem City,4091,4862,9389,1980,51.78400255618277
Scott County,4314,4744,9387,1980,50.53797805475658
Shenandoah County,3137,7517,11203,1980,67.09809872355619
Smyth County,5335,6033,11861,1980,50.86417671359919
S. Boston City,971,1615,2649,1980,60.96640241600604
Southampton County,3347,2997,6587,1980,45.49870957947472
Spotsylvania County,4039,5385,10005,1980,53.823088455772115
Stafford County (CD 7),2961,5276,8817,1980,59.838947487807644
Stafford County (CD 8),1250,1830,3258,1980,56.16942909760589
Staunton City,2658,4819,7927,1980,60.79222909045036
Suffolk City,9064,7179,16765,1980,42.821354011333135
Surry County,1756,962,2821,1980,34.10138248847926
Sussex County,2447,1664,4273,1980,38.942195179031124
Tazewell County,7003,7021,14425,1980,48.672443674176776
Virginia Beach City (CD 2),22046,43623,71416,1980,61.08295059930548
Virginia Beach City (CD 4),2849,4313,7819,1980,55.16050645862642
Warren County,2597,3861,6920,1980,55.79479768786127
Washington County,6390,8402,15597,1980,53.86933384625249
Waynesboro City,1926,3697,5978,1980,61.84342589494814
Westmoreland County,2271,2510,4989,1980,50.310683503708155
Williamsburg City,1199,1344,2953,1980,45.51303758889265
Winchester City,2006,4240,6623,1980,64.019326589159
Wise County,6779,5767,13141,1980,43.88554904497374
Wythe County,3677,4758,8766,1980,54.27789185489391
York County,4532,6744,12133,1980,55.58394461386302
TOTALS,752174,989609,1866032,1980,53.03279900880585
Accomack County,4355,8047,12466,1984,64.55158029841168
Albemarle County,7982,14455,22530,1984,64.15889924545051
Alexandria City,23552,21166,45253,1984,46.77258966256381
Alleghany County,1932,3067,5037,1984,60.88941830454635
