218,2001/01/07,BATTERY
51,2001/01/07,BURGLARY
129,2001/01/07,CRIMINAL DAMAGE
42,2001/01/07,CRIMINAL TRESPASS
7,2001/01/07,CRIM SEXUAL ASSAULT
17,2001/01/07,DECEPTIVE PRACTICE
3,2001/01/07,GAMBLING
1,2001/01/07,HOMICIDE
2,2001/01/07,INTERFERENCE WITH PUBLIC OFFICER
3,2001/01/07,KIDNAPPING
58,2001/01/07,MOTOR VEHICLE THEFT
155,2001/01/07,NARCOTICS
6,2001/01/07,OFFENSE INVOLVING CHILDREN
79,2001/01/07,OTHER OFFENSE
15,2001/01/07,PROSTITUTION
2,2001/01/07,PUBLIC PEACE VIOLATION
1,2001/01/07,RITUALISM
36,2001/01/07,ROBBERY
5,2001/01/07,SEX OFFENSE
205,2001/01/07,THEFT
8,2001/01/07,WEAPONS VIOLATION
3,2001/01/08,ARSON
67,2001/01/08,ASSAULT
192,2001/01/08,BATTERY
53,2001/01/08,BURGLARY
104,2001/01/08,CRIMINAL DAMAGE
36,2001/01/08,CRIMINAL TRESPASS
3,2001/01/08,CRIM SEXUAL ASSAULT
54,2001/01/08,DECEPTIVE PRACTICE
1,2001/01/08,GAMBLING
1,2001/01/08,INTERFERENCE WITH PUBLIC OFFICER
1,2001/01/08,KIDNAPPING
5,2001/01/08,LIQUOR LAW VIOLATION
62,2001/01/08,MOTOR VEHICLE THEFT
161,2001/01/08,NARCOTICS
9,2001/01/08,OFFENSE INVOLVING CHILDREN
90,2001/01/08,OTHER OFFENSE
12,2001/01/08,PROSTITUTION
3,2001/01/08,PUBLIC PEACE VIOLATION
44,2001/01/08,ROBBERY
6,2001/01/08,SEX OFFENSE
1,2001/01/08,STALKING
244,2001/01/08,THEFT
5,2001/01/08,WEAPONS VIOLATION
3,2001/01/09,ARSON
63,2001/01/09,ASSAULT
212,2001/01/09,BATTERY
75,2001/01/09,BURGLARY
120,2001/01/09,CRIMINAL DAMAGE
52,2001/01/09,CRIMINAL TRESPASS
3,2001/01/09,CRIM SEXUAL ASSAULT
50,2001/01/09,DECEPTIVE PRACTICE
2,2001/01/09,HOMICIDE
2,2001/01/09,KIDNAPPING
2,2001/01/09,LIQUOR LAW VIOLATION
65,2001/01/09,MOTOR VEHICLE THEFT
115,2001/01/09,NARCOTICS
3,2001/01/09,OFFENSE INVOLVING CHILDREN
76,2001/01/09,OTHER OFFENSE
15,2001/01/09,PROSTITUTION
9,2001/01/09,PUBLIC PEACE VIOLATION
38,2001/01/09,ROBBERY
5,2001/01/09,SEX OFFENSE
4,2001/01/09,STALKING
261,2001/01/09,THEFT
9,2001/01/09,WEAPONS VIOLATION
2,2001/01/10,ARSON
88,2001/01/10,ASSAULT
199,2001/01/10,BATTERY
