2,HUMAN TRAFFICKING
7,INTIMIDATION
8,GAMBLING
10,OBSCENITY
13,STALKING
22,HOMICIDE
22,KIDNAPPING
28,ARSON
42,INTERFERENCE WITH PUBLIC OFFICER
51,LIQUOR LAW VIOLATION
57,PROSTITUTION
93,PUBLIC PEACE VIOLATION
394,CRIMINAL TRESPASS
582,CRIM SEXUAL ASSAULT
608,SEX OFFENSE
633,WEAPONS VIOLATION
636,ROBBERY
718,BURGLARY
803,MOTOR VEHICLE THEFT
957,ASSAULT
1398,NARCOTICS
1503,OFFENSE INVOLVING CHILDREN
1527,DECEPTIVE PRACTICE
1953,OTHER OFFENSE
2677,CRIMINAL DAMAGE
5034,BATTERY
6107,THEFT
