     44 2016/08/07
     42 2016/08/08
     66 2016/08/09
     61 2016/08/10
     59 2016/08/11
     68 2016/08/12
     64 2016/08/13
     51 2016/08/14
     47 2016/08/15
     49 2016/08/16
     56 2016/08/17
     58 2016/08/18
     59 2016/08/19
     68 2016/08/20
     45 2016/08/21
     56 2016/08/22
     62 2016/08/23
     59 2016/08/24
     52 2016/08/25
     58 2016/08/26
     53 2016/08/27
     41 2016/08/28
     43 2016/08/29
     52 2016/08/30
     54 2016/08/31
     60 2016/09/01
     61 2016/09/02
     50 2016/09/03
     47 2016/09/04
     30 2016/09/05
     61 2016/09/06
     47 2016/09/07
     49 2016/09/08
     64 2016/09/09
     46 2016/09/10
     39 2016/09/11
     51 2016/09/12
     49 2016/09/13
     50 2016/09/14
     46 2016/09/15
     48 2016/09/16
     49 2016/09/17
     36 2016/09/18
     53 2016/09/19
     51 2016/09/20
     59 2016/09/21
     39 2016/09/22
     65 2016/09/23
     39 2016/09/24
     46 2016/09/25
     35 2016/09/26
     44 2016/09/27
     61 2016/09/28
     55 2016/09/29
     64 2016/09/30
     49 2016/10/01
     31 2016/10/02
     49 2016/10/03
     47 2016/10/04
     66 2016/10/05
     55 2016/10/06
     57 2016/10/07
     46 2016/10/08
     37 2016/10/09
     69 2016/10/10
     47 2016/10/11
     45 2016/10/12
     52 2016/10/13
